Page Views,Session Duration,Bounce Rate,Traffic Source,Time on Page,Previous Visits,Conversion Rate,reason
7,0.0990616466258721,0.4085191715078449,Organic,0.6749569461579713,2,1.0,session_duration_too_short
8,0.0123296533410498,0.2537494223050182,Organic,1.9567633132697824,4,1.0,session_duration_too_short
4,0.0678007836675557,0.4019710464040092,Social,6.455193015115096,0,1.0,session_duration_too_short
5,0.0128728524359084,0.1238344448806978,Direct,1.8906092468763869,4,0.7727292019889964,session_duration_too_short
6,0.0056234990894558,0.0650513626063424,Direct,6.650157150739718,2,1.0,session_duration_too_short
5,0.0144341429090279,0.1009998962687653,Paid,1.9516136029889284,2,0.8098977140906056,session_duration_too_short
6,0.0982370887859015,0.3508539698130499,Organic,4.005218876457898,4,1.0,session_duration_too_short
4,0.074918797145263,0.1689000548535744,Organic,1.9179387618084704,2,0.6918459227971696,session_duration_too_short
0,0.0650191181470897,0.5051580352044964,Social,2.8178613729076805,1,0.924239964629372,session_duration_too_short
6,0.0040035887381918,0.3439510723016686,Paid,3.686212336677439,2,0.996212266862994,session_duration_too_short
8,0.0616516638391507,0.256233421516726,Referral,1.023664455704276,1,1.0,session_duration_too_short
4,0.0531646771190479,0.1983764035245016,Direct,1.7033003317895687,3,0.8627572349486163,session_duration_too_short
4,0.0218365641617276,0.6870865383200422,Organic,1.3190199810816592,3,1.0,session_duration_too_short
0,1.4710190401315488,0.058217436172916,Organic,1.8384537466761,2,1.0,page_views_invalid
0,5.341312562445948,0.4307825115091405,Organic,5.685453474847222,3,1.0,page_views_invalid
5,0.0582571152051086,0.1145723400763269,Organic,2.0673674607095287,3,1.0,session_duration_too_short
7,0.0814063326635374,0.3157147956462242,Paid,1.619162945144896,1,0.942522352367646,session_duration_too_short
3,0.0244017977027741,0.4347127678236454,Paid,5.6638503803543285,2,1.0,session_duration_too_short
0,0.8700920309784871,0.0623312283296782,Paid,0.2661016717244857,1,0.4029104164772543,page_views_invalid
1,0.090699721693492,0.2757316413909128,Organic,3.1947261413585597,1,1.0,session_duration_too_short
0,2.315518252060233,0.1904708787951109,Paid,2.7043082732260104,3,0.7157727453472013,page_views_invalid
7,0.0648627088995444,0.3454596315038786,Paid,1.6912942887204034,2,1.0,session_duration_too_short
1,0.0288124763615445,0.5282452781046739,Organic,9.620062225194912,0,1.0,session_duration_too_short
0,1.831355364543897,0.256594314101299,Paid,1.518302521220505,3,1.0,page_views_invalid
3,0.0558187114533605,0.1427863899100607,Organic,2.311164955805619,2,0.9155571522082164,session_duration_too_short
7,0.0538355924256452,0.1890514034643938,Organic,3.0445577028284463,8,1.0,session_duration_too_short
9,0.004257680279841,0.1421260303256458,Paid,6.945976135498664,1,1.0,session_duration_too_short
1,0.0789118617497079,0.1552645160486191,Paid,3.0746099982886776,2,1.0,session_duration_too_short
0,0.3905097760673062,0.7344017986658866,Organic,4.403389038967879,1,0.8536296980530632,page_views_invalid
1,0.0412558880922737,0.4168970815661115,Direct,7.570280229452599,0,1.0,session_duration_too_short
6,0.0413161558522691,0.3217797594300032,Social,2.342198248063014,0,0.8444464194991335,session_duration_too_short
10,0.0350841561348338,0.2111913169558119,Referral,5.676390227078235,6,1.0,session_duration_too_short
5,0.0278558693067282,0.1022160963693555,Organic,7.182616459171757,5,1.0,session_duration_too_short
5,0.0406057001032103,0.3541728515504277,Paid,2.6008764329213543,4,1.0,session_duration_too_short
